annual_income,funded_amount,loan_success,term_months
96600.0,20000,1,60
91000.0,20000,1,36
21000.0,9125,1,36
63400.0,14000,1,36
30000.0,6950,1,36
33000.0,12375,1,36
100000.0,26000,1,36
104000.0,25000,1,60
80040.0,32550,1,60
102000.0,15000,1,36
60000.0,10975,0,36
57000.0,15000,1,60
34000.0,2800,1,36
49000.0,20800,0,60
130000.0,18000,1,36
75000.0,5000,1,36
85500.0,24000,1,36
73000.0,8750,1,36
60000.0,5000,1,36
34000.0,4400,1,36
52000.0,10000,1,36
60000.0,9000,0,36
220000.0,10000,1,36
85000.0,20000,1,36
25000.0,7750,1,36
65000.0,16000,1,60
78000.0,6000,1,36
75000.0,10000,1,36
35000.0,9600,1,36
96000.0,7300,1,36
42000.0,12000,1,36
58000.0,13375,0,36
52800.0,8500,1,36
38484.0,6250,0,36
36000.0,6000,0,36
45676.8,6000,1,36
120000.0,30000,1,36
64488.0,9000,1,60
40000.0,12500,1,36
204000.0,25000,1,36
84000.0,8000,1,60
91000.0,4000,1,36
19000.0,1500,1,36
26000.0,4000,0,36
50000.0,10000,1,60
58000.0,20000,1,36
45000.0,12000,1,36
27000.0,10000,1,36
650000.0,9500,1,36
67000.0,12000,1,36
56000.0,22000,1,60
31243.0,3600,0,60
25000.0,7925,0,36
110000.0,22000,1,36
135000.0,32000,0,60
200000.0,33000,1,36
65000.0,15000,1,36
165000.0,25000,1,60
130000.0,24000,1,36
100000.0,12000,1,36
127000.0,28000,1,36
56840.0,13250,1,36
75000.0,24000,1,60
41004.0,4000,1,36
35000.0,11700,1,36
132350.0,30000,1,60
44410.0,17000,1,60
92700.0,20000,1,36
135000.0,6275,1,36
20160.0,2600,1,36
60000.0,2400,1,36
38000.0,10800,0,36
110004.0,15000,1,36
62900.0,9750,1,36
45000.0,10000,1,60
59903.0,5300,1,36
78000.0,10000,0,36
55000.0,9600,1,36
78400.0,20000,0,60
40000.0,5000,1,36
73000.0,8800,1,36
135000.0,33000,1,60
159760.0,30000,1,60
92000.0,30000,0,36
78000.0,12000,1,36
60000.0,14400,1,60
84000.0,10000,1,36
75000.0,9300,1,36
68000.0,11000,1,36
106000.0,10500,0,36
70000.0,10000,1,36
36000.0,12000,1,36
115000.0,9600,1,36
50000.0,15000,1,36
16800.0,1000,1,36
45000.0,12000,1,36
90000.0,19000,1,36
105000.0,12000,1,36
130000.0,7000,1,36
49305.12,16000,1,36
56824.95,20000,1,36
75000.0,20000,1,36
87000.0,16650,1,36
37000.0,6500,1,36
37000.0,16500,0,60
48000.0,19000,0,60
79500.0,16000,1,60
65000.0,7200,1,36
85000.0,24000,1,36
60000.0,8000,1,36
47000.0,12150,1,60
51000.0,2200,1,36
39875.0,10000,1,36
114996.0,7450,1,36
110000.0,20000,1,36
41000.0,7500,1,36
16500.0,2400,1,36
50000.0,5625,1,36
45000.0,10000,0,60
24960.0,4800,1,36
34500.0,10000,1,36
60000.0,6500,1,36
55000.0,6000,1,36
115000.0,15000,1,36
50000.0,18000,0,60
21000.0,1200,1,36
46500.0,8250,1,60
29000.0,2500,0,36
60000.0,5125,1,36
45000.0,13000,1,60
100000.0,25000,1,36
38000.0,16950,1,60
85000.0,16000,1,36
47000.0,6000,1,36
39520.0,16750,1,36
60740.0,10000,1,36
99500.0,19100,1,36
121000.0,15000,1,36
70000.0,5000,1,36
114000.0,20000,1,60
350000.0,28000,1,60
65000.0,15000,1,36
72000.0,23000,1,60
130000.0,6000,1,36
20400.0,5800,1,36
155769.45,24000,1,36
23500.0,3000,1,36
80000.0,35000,0,60
25000.0,8325,1,36
108000.0,30000,1,36
42000.0,7200,0,36
65000.0,20000,1,36
60000.0,21100,1,60
63000.0,20000,1,36
60000.0,22750,0,60
40000.0,12000,0,60
100000.0,22000,1,36
40000.0,10000,1,36
55000.0,22000,1,36
125000.0,21600,1,36
56566.0,3200,1,36
175000.0,30000,1,36
75000.0,3000,1,36
30000.0,7950,1,36
24000.0,3000,1,36
64000.0,5000,1,36
32000.0,5500,1,36
45000.0,6650,0,36
33600.0,11500,1,36
99671.0,15000,1,36
180000.0,7000,1,36
83684.0,11750,1,36
67000.0,6000,1,36
68750.0,14000,1,60
96000.0,10000,1,36
65500.0,30100,1,60
125000.0,7000,1,36
47700.0,12000,1,60
47000.0,20500,0,60
57000.0,3000,1,36
75000.0,9000,1,36
49000.0,18000,1,36
118000.0,1675,1,36
46226.16,19800,1,36
180000.0,21000,1,36
28000.0,1500,1,36
150000.0,15400,1,36
41600.0,14000,1,60
106000.0,17000,1,60
55000.0,20000,1,60
38700.0,3600,1,36
80000.0,18000,0,60
65000.0,18075,1,36
45000.0,10000,1,36
65000.0,22250,1,36
67000.0,6000,1,36
68000.0,5000,1,36
21500.0,7700,1,36
32000.0,11500,0,36
55500.0,18000,0,60
60000.0,10000,1,36
60000.0,10000,1,36
110000.0,20000,1,36
50000.0,9600,1,36
34000.0,5000,1,36
150000.0,8000,1,36
52000.0,12000,1,36
50000.0,15025,0,36
107000.0,25000,1,36
62000.0,9000,1,60
36000.0,6000,1,36
95000.0,12000,1,60
44880.0,8000,1,36
37000.0,2650,1,36
36400.0,10000,1,36
75000.0,11000,1,36
62500.0,8275,1,36
32000.0,5400,1,36
170000.0,35000,1,60
40000.0,9175,1,36
70000.0,10000,1,36
34088.0,1850,1,36
85000.0,8000,1,36
88000.0,7000,0,36
36144.0,15000,0,36
24000.0,9250,1,36
125000.0,12000,1,36
30000.0,1500,1,36
55517.0,12000,1,36
200000.0,30000,1,36
62000.0,7000,1,36
35000.0,11700,0,36
83500.0,1600,1,36
35000.0,12575,0,60
39400.0,11000,1,60
55000.0,20000,1,36
52000.0,20675,0,36
81000.0,5000,1,36
90000.0,19200,1,60
107004.0,10000,1,36
